Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
109	Quinn Cook	PG	25	GSW	44	8	14.8	2.9	6.3	.464	1.1	2.8	.398	1.8	3.5	.516	.553	0.3	0.5	.750	0.3	1.9	2.2	1.7	0.3	0.1	0.7	1.4	7.3
110	DeMarcus Cousins	C	28	GSW	7	7	22.7	4.9	11.1	.436	1.0	2.6	.389	3.9	8.6	.450	.481	3.7	4.6	.813	1.0	6.3	7.3	4.0	1.0	0.9	1.9	4.0	14.4
111	Robert Covington	SF	28	TOT	35	35	34.4	4.5	10.3	.431	2.4	6.4	.378	2.0	3.9	.518	.548	1.9	2.5	.764	0.8	4.7	5.5	1.3	2.1	1.3	1.3	3.6	13.3
111	Robert Covington	SF	28	PHI	13	13	33.8	3.8	9.0	.427	2.3	5.9	.390	1.5	3.1	.500	.556	1.3	1.8	.739	0.5	4.6	5.2	1.1	1.8	1.8	1.7	3.5	11.3
111	Robert Covington	SF	28	MIN	22	22	34.7	4.8	11.1	.433	2.5	6.7	.372	2.3	4.4	.526	.545	2.3	3.0	.773	1.0	4.8	5.7	1.5	2.3	1.1	1.1	3.7	14.5
112	Allen Crabbe	SG	26	BRK	28	15	26.1	3.0	8.9	.343	2.3	6.0	.387	0.7	2.9	.250	.474	1.1	1.4	.789	0.5	3.0	3.5	1.1	0.6	0.3	1.1	2.4	9.5
113	Torrey Craig	SF	28	DEN	47	37	23.0	2.4	5.5	.444	0.8	2.7	.295	1.6	2.8	.592	.517	0.7	1.1	.640	1.5	2.7	4.2	1.0	0.6	0.6	0.8	2.5	6.4
114	Jamal Crawford	SG	38	PHO	44	0	17.8	2.3	6.2	.364	0.8	2.6	.287	1.5	3.6	.420	.425	1.3	1.5	.809	0.2	1.0	1.2	3.3	0.5	0.2	1.4	1.3	6.5
115	Mitch Creek	SF	26	BRK	3	0	6.7	0.7	1.7	.400	0.0	0.0		0.7	1.7	.400	.400	1.0	1.3	.750	0.3	1.3	1.7	0.3	0.3	0.0	0.0	0.7	2.3
116	Jae Crowder	SF	28	UTA	53	8	27.6	3.9	10.0	.395	2.2	6.5	.332	1.8	3.5	.514	.504	1.9	2.8	.699	0.8	3.9	4.7	1.6	0.8	0.4	1.2	2.0	12.0
117	Dante Cunningham	PF	31	SAS	48	21	16.0	1.3	2.7	.473	0.6	1.1	.491	0.7	1.6	.461	.576	0.2	0.3	.786	0.9	2.6	3.5	0.9	0.4	0.3	0.4	1.3	3.4
118	Seth Curry	SG	28	POR	46	2	17.8	2.4	5.3	.445	1.4	2.9	.485	1.0	2.4	.396	.578	0.2	0.2	1.000	0.3	1.2	1.5	1.0	0.4	0.2	0.7	1.4	6.3
119	Stephen Curry	PG	30	GSW	41	41	34.3	9.8	19.8	.493	5.2	11.6	.451	4.5	8.1	.554	.626	4.4	4.8	.923	0.7	4.4	5.1	5.3	1.1	0.3	2.9	2.5	29.2
120	Troy Daniels	SG	27	PHO	27	0	13.2	1.9	4.7	.406	1.4	3.6	.392	0.5	1.1	.452	.555	0.4	0.6	.800	0.2	0.9	1.1	0.3	0.6	0.1	0.6	1.3	5.7
Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
121	Anthony Davis	C	25	NOP	41	41	37.0	10.5	20.6	.508	1.0	3.0	.325	9.5	17.6	.539	.532	7.4	9.1	.812	3.4	9.9	13.3	4.4	1.7	2.6	2.0	2.6	29.3
122	Ed Davis	C	29	BRK	53	1	18.5	2.5	4.0	.624	0.0	0.0	.000	2.5	3.9	.630	.624	1.1	1.9	.574	3.0	5.9	8.9	0.8	0.5	0.4	0.8	2.8	6.0
123	Tyler Davis	C	21	OKC	1	0	1.0	0.0	1.0	.000	0.0	0.0		0.0	1.0	.000	.000	0.0	0.0		1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
124	Dewayne Dedmon	C	29	ATL	42	31	24.8	3.9	8.1	.481	1.2	3.3	.380	2.6	4.8	.550	.558	1.3	1.5	.873	1.6	5.8	7.4	1.4	1.0	1.0	1.4	3.4	10.3
125	Sam Dekker	SF-PF	24	TOT	33	5	17.3	2.8	5.7	.497	0.3	1.2	.289	2.5	4.6	.550	.526	0.5	0.9	.600	1.2	2.4	3.6	0.9	0.9	0.2	0.5	1.0	6.6
125	Sam Dekker	PF	24	CLE	9	5	18.8	2.4	5.3	.458	0.6	1.4	.385	1.9	3.9	.486	.510	0.9	1.1	.800	1.0	2.7	3.7	1.0	1.2	0.0	0.6	1.4	6.3
125	Sam Dekker	SF	24	WAS	24	0	16.8	3.0	5.9	.511	0.3	1.0	.240	2.8	4.8	.569	.532	0.4	0.8	.500	1.3	2.3	3.6	0.9	0.8	0.3	0.4	0.8	6.7
126	Matthew Dellavedova	PG	28	TOT	36	0	15.3	2.1	4.7	.444	1.0	2.6	.387	1.1	2.1	.513	.550	0.9	1.0	.865	0.1	1.3	1.4	3.2	0.2	0.0	1.4	1.4	6.1
126	Matthew Dellavedova	PG	28	MIL	12	0	8.1	0.5	1.6	.316	0.3	0.9	.364	0.2	0.7	.250	.421	0.3	0.3	1.000	0.0	0.8	0.8	2.4	0.2	0.0	0.9	0.8	1.7
126	Matthew Dellavedova	PG	28	CLE	24	0	19.0	2.9	6.3	.460	1.3	3.4	.390	1.5	2.8	.544	.567	1.2	1.4	.848	0.2	1.5	1.8	3.6	0.2	0.0	1.6	1.8	8.3
127	Luol Deng	SF	33	MIN	13	0	12.9	2.1	4.4	.474	0.6	1.8	.333	1.5	2.5	.576	.544	1.2	1.5	.789	0.8	1.9	2.7	0.4	0.5	0.2	0.4	0.7	5.9
128	DeMar DeRozan	SG	29	SAS	50	50	35.2	8.2	17.7	.461	0.1	0.8	.171	8.0	16.9	.475	.465	4.8	5.8	.824	0.8	5.5	6.3	6.2	1.0	0.5	2.6	2.2	21.2
129	Marcus Derrickson	PF	22	GSW	8	0	5.6	1.0	2.5	.400	0.4	1.4	.273	0.6	1.1	.556	.475	0.4	0.5	.750	0.4	0.4	0.8	0.0	0.0	0.1	0.4	1.1	2.8
130	Cheick Diallo	PF	22	NOP	35	0	10.3	1.7	2.9	.578	0.0	0.1	.000	1.7	2.9	.590	.578	0.7	0.9	.697	0.8	2.7	3.5	0.4	0.4	0.5	0.6	1.2	4.0
131	Hamidou Diallo	SG	20	OKC	42	3	12.0	1.7	3.8	.456	0.1	0.5	.174	1.6	3.2	.504	.468	0.8	1.4	.603	0.9	1.3	2.2	0.4	0.4	0.2	0.5	1.7	4.4
132	Gorgui Dieng	C	29	MIN	52	0	13.7	2.1	4.3	.491	0.3	0.8	.333	1.9	3.6	.524	.520	1.1	1.2	.887	1.0	3.1	4.0	0.9	0.5	0.5	0.6	1.9	5.5
133	Spencer Dinwiddie	PG	25	BRK	49	4	28.6	5.6	12.2	.461	2.0	5.3	.366	3.7	6.8	.536	.542	4.0	5.1	.795	0.4	2.0	2.5	5.0	0.6	0.2	2.3	2.8	17.2
134	Donte DiVincenzo	SG	22	MIL	23	0	15.6	1.8	4.7	.393	0.7	3.0	.246	1.1	1.7	.658	.472	0.4	0.5	.818	0.6	1.9	2.4	1.2	0.5	0.3	0.8	1.5	4.8
135	Luka Doncic	SG	19	DAL	50	50	32.1	6.9	15.8	.435	2.4	6.8	.352	4.5	9.0	.499	.511	4.5	6.2	.731	1.1	5.9	7.0	5.4	1.1	0.3	3.2	1.9	20.7
136	Tyler Dorsey	SG	22	ATL	27	0	9.3	1.2	3.3	.360	0.4	1.4	.256	0.8	1.9	.440	.416	0.6	1.0	.615	0.3	1.3	1.6	0.6	0.3	0.0	0.4	0.7	3.3
137	Damyean Dotson	SG	24	NYK	42	11	25.1	3.6	8.2	.439	1.5	3.8	.384	2.1	4.4	.486	.528	0.8	1.2	.694	0.6	3.0	3.5	1.3	0.9	0.1	0.7	1.8	9.5
138	PJ Dozier	SG	22	BOS	4	0	2.5	0.8	1.5	.500	0.3	0.5	.500	0.5	1.0	.500	.583	0.0	0.0		0.5	0.5	1.0	0.0	0.0	0.0	0.0	0.3	1.8
139	Goran Dragic	PG	32	MIA	14	14	29.1	5.5	13.4	.410	1.6	5.0	.314	3.9	8.4	.466	.468	2.7	3.6	.760	0.6	2.5	3.1	4.9	0.7	0.3	2.5	2.1	15.3
140	Andre Drummond	C	25	DET	48	48	33.0	7.0	13.7	.508	0.1	0.6	.129	6.9	13.1	.527	.511	2.6	4.8	.537	5.2	9.6	14.9	1.2	1.6	1.6	2.4	3.4	16.6
Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
141	Jared Dudley	PF	33	BRK	43	25	22.0	1.8	4.4	.405	0.9	2.8	.322	0.9	1.6	.551	.508	0.5	0.8	.629	0.6	2.2	2.8	1.5	0.7	0.3	0.9	2.4	5.0
142	Kris Dunn	PG	24	CHI	27	25	31.0	5.0	11.5	.434	0.6	1.7	.356	4.4	9.9	.447	.460	1.4	1.7	.787	0.3	4.0	4.2	6.3	1.5	0.5	2.5	3.7	12.0
143	Kevin Durant	PF	30	GSW	52	52	35.5	9.6	19.0	.505	1.8	5.0	.366	7.8	14.0	.555	.554	6.4	7.1	.908	0.5	6.6	7.1	6.0	0.8	1.1	3.2	1.9	27.5
144	Vince Edwards	SF	22	HOU	2	0	8.0	0.5	2.0	.250	0.5	2.0	.250	0.0	0.0		.375	0.0	0.0		0.5	0.5	1.0	0.0	0.0	0.0	0.0	0.0	1.5
145	Henry Ellenson	PF	22	DET	2	0	12.5	2.0	5.0	.400	1.0	2.0	.500	1.0	3.0	.333	.500	1.0	1.0	1.000	0.0	4.5	4.5	0.5	0.0	0.0	0.0	1.0	6.0
146	Wayne Ellington	SG	31	MIA	25	12	21.3	2.8	7.4	.375	2.3	6.2	.368	0.5	1.2	.414	.530	0.6	0.6	.875	0.2	1.6	1.9	1.2	1.0	0.1	0.6	1.6	8.4
147	Joel Embiid	C	24	PHI	49	49	33.5	9.0	18.7	.482	1.2	4.0	.294	7.8	14.7	.533	.514	8.1	10.1	.803	2.6	10.9	13.5	3.6	0.6	1.9	3.6	3.3	27.2
148	James Ennis	SF	28	HOU	38	24	23.3	2.6	5.1	.503	1.1	2.9	.373	1.5	2.2	.671	.608	1.1	1.5	.714	0.9	1.9	2.9	0.6	0.9	0.4	0.6	2.8	7.3
149	Drew Eubanks	PF	21	SAS	12	0	3.9	0.8	1.2	.714	0.0	0.0		0.8	1.2	.714	.714	0.5	0.7	.750	0.1	0.9	1.0	0.2	0.1	0.0	0.2	0.3	2.2
150	Jacob Evans	SG	21	GSW	23	0	4.3	0.3	1.1	.240	0.0	0.3	.167	0.2	0.8	.263	.260	0.0	0.0	.000	0.0	0.3	0.4	0.6	0.0	0.0	0.3	0.6	0.6
151	Jawun Evans	PG	22	PHO	5	0	10.0	0.4	2.0	.200	0.0	0.4	.000	0.4	1.6	.250	.200	0.0	0.0		0.2	1.8	2.0	1.8	0.6	0.0	0.8	1.4	0.8
152	Tyreke Evans	SG	29	IND	45	12	20.5	3.8	9.8	.389	1.2	3.4	.353	2.6	6.4	.408	.450	1.8	2.3	.769	0.6	2.2	2.7	2.4	1.0	0.2	1.8	1.7	10.6
153	Dante Exum	PG	23	UTA	39	1	16.3	2.6	6.0	.432	0.5	1.5	.305	2.1	4.5	.474	.470	1.7	2.2	.791	0.4	1.3	1.7	2.7	0.4	0.1	1.2	1.6	7.4
154	Kenneth Faried	C	29	TOT	19	6	17.0	3.7	6.3	.597	0.1	0.5	.200	3.6	5.7	.633	.605	1.7	2.7	.615	2.1	3.7	5.8	0.5	0.4	0.6	0.9	1.8	9.3
154	Kenneth Faried	C	29	BRK	12	0	9.8	2.1	3.5	.595	0.1	0.4	.200	2.0	3.1	.649	.607	0.8	1.3	.625	1.3	2.4	3.7	0.2	0.2	0.3	0.5	0.7	5.1
154	Kenneth Faried	C	29	HOU	7	6	29.3	6.6	11.0	.597	0.1	0.7	.200	6.4	10.3	.625	.604	3.1	5.1	.611	3.6	6.0	9.6	1.0	0.9	1.1	1.6	3.9	16.4
155	Derrick Favors	C	27	UTA	53	47	23.1	4.4	7.6	.576	0.3	1.1	.233	4.1	6.4	.636	.594	1.9	3.0	.652	2.7	4.4	7.1	1.1	0.7	1.3	1.0	2.2	10.9
156	Cristiano Felicio	C	26	CHI	32	0	9.6	1.2	2.0	.569	0.0	0.1	.000	1.2	2.0	.587	.569	0.5	0.7	.739	0.8	1.8	2.6	0.5	0.2	0.1	0.4	0.8	2.8
157	Raymond Felton	PG	34	OKC	15	0	11.1	1.9	5.1	.368	0.4	2.0	.200	1.5	3.1	.478	.408	0.5	0.6	.889	0.2	1.2	1.4	1.8	0.4	0.3	0.7	0.9	4.7
158	Terrance Ferguson	SG	20	OKC	43	43	23.4	2.3	5.3	.435	1.3	3.3	.389	1.0	2.0	.512	.557	0.4	0.6	.640	0.5	1.3	1.8	0.7	0.6	0.3	0.6	3.0	6.3
159	Yogi Ferrell	PG	25	SAC	42	3	14.7	2.2	4.9	.440	0.7	2.0	.366	1.5	3.0	.488	.512	0.7	0.8	.886	0.2	1.4	1.6	1.9	0.5	0.1	0.5	0.8	5.8
160	Dorian Finney-Smith	SF	25	DAL	52	13	24.6	2.8	6.2	.461	1.0	3.0	.346	1.8	3.2	.570	.545	0.9	1.4	.667	1.7	2.8	4.6	0.8	1.0	0.5	1.0	2.4	7.7
Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
161	Bryn Forbes	PG	25	SAS	54	54	28.7	4.5	10.0	.450	2.2	5.2	.423	2.3	4.9	.479	.559	0.9	1.0	.891	0.2	2.7	2.9	2.2	0.6	0.1	1.1	2.2	12.1
162	Evan Fournier	SG	26	ORL	52	52	31.3	5.6	13.1	.428	1.9	5.8	.333	3.7	7.4	.501	.501	1.6	2.0	.774	0.5	2.5	3.0	3.5	0.9	0.2	2.0	2.8	14.7
163	De'Aaron Fox	PG	21	SAC	51	51	31.5	6.2	13.5	.460	1.1	3.0	.364	5.2	10.6	.487	.500	3.9	5.4	.733	0.6	3.1	3.7	7.2	1.7	0.5	3.1	2.6	17.5
164	Melvin Frazier	SG	22	ORL	3	0	5.3	0.0	1.0	.000	0.0	0.3	.000	0.0	0.7	.000	.000	0.0	0.0		0.0	0.3	0.3	0.0	0.3	0.0	0.3	1.0	0.0
165	Tim Frazier	PG	28	NOP	41	17	18.9	1.8	4.1	.446	0.6	1.7	.348	1.2	2.4	.515	.518	0.6	0.8	.774	0.7	2.2	2.9	4.4	0.5	0.1	1.2	2.0	4.8
166	Channing Frye	C	35	CLE	26	5	10.3	1.2	3.3	.345	0.8	2.2	.379	0.3	1.1	.276	.471	0.3	0.5	.750	0.2	1.4	1.6	0.6	0.2	0.2	0.4	1.3	3.5
167	Markelle Fultz	PG	20	PHI	19	15	22.5	3.4	8.2	.419	0.2	0.7	.286	3.2	7.4	.433	.432	1.1	1.9	.568	1.4	2.3	3.7	3.1	0.9	0.3	1.3	2.7	8.2
168	Danilo Gallinari	SF	30	LAC	44	44	31.3	5.8	12.8	.450	2.4	5.5	.446	3.3	7.4	.452	.544	5.0	5.5	.906	0.9	5.0	6.0	2.5	0.7	0.3	1.4	2.1	19.0
169	Langston Galloway	SG	27	DET	49	2	21.7	2.8	7.3	.377	1.6	4.8	.332	1.2	2.5	.463	.486	0.9	1.1	.796	0.7	1.7	2.4	1.1	0.4	0.1	0.3	1.6	8.0
170	Marc Gasol	C	34	MEM	52	52	33.8	5.6	12.8	.440	1.4	4.2	.346	4.2	8.6	.485	.496	2.9	3.8	.755	1.0	7.5	8.6	4.7	1.1	1.2	2.3	2.8	15.6
171	Pau Gasol	C	38	SAS	23	6	13.3	1.7	3.5	.481	0.2	0.4	.500	1.5	3.1	.479	.512	1.0	1.4	.719	0.9	4.2	5.1	2.0	0.2	0.6	0.6	1.0	4.6
172	Rudy Gay	PF	32	SAS	44	41	27.3	5.7	11.0	.523	1.0	2.5	.414	4.7	8.4	.555	.571	1.8	2.0	.867	1.0	5.6	6.5	2.5	0.9	0.6	1.6	2.6	14.3
173	Paul George	SF	28	OKC	50	50	36.0	9.3	20.5	.454	3.7	9.0	.410	5.6	11.5	.488	.543	5.4	6.5	.828	1.5	6.5	8.0	4.0	2.3	0.5	2.6	2.7	27.6
174	Taj Gibson	PF	33	MIN	51	51	25.5	4.3	7.7	.565	0.2	0.6	.333	4.1	7.0	.587	.579	1.7	2.3	.733	2.5	4.2	6.7	1.2	0.8	0.6	1.1	2.7	10.5
175	Harry Giles	PF	20	SAC	39	0	12.7	2.6	5.3	.498	0.0	0.1	.000	2.6	5.1	.510	.498	0.7	1.3	.560	1.0	2.4	3.4	1.4	0.6	0.4	1.2	2.5	5.9
176	Shai Gilgeous-Alexander	PG	20	LAC	53	44	26.1	3.8	8.3	.462	0.5	1.6	.321	3.3	6.7	.496	.493	1.8	2.2	.814	0.7	2.0	2.7	3.0	1.1	0.5	1.8	2.1	10.0
177	Rudy Gobert	C	26	UTA	54	53	31.5	5.6	8.6	.650	0.0	0.0		5.6	8.6	.650	.650	3.9	6.0	.652	3.7	9.1	12.8	2.2	0.9	2.2	1.6	2.8	15.1
178	Brandon Goodwin	PG	23	DEN	15	0	3.5	0.3	1.2	.278	0.1	0.3	.500	0.2	0.9	.214	.333	0.6	0.7	.818	0.1	0.1	0.2	0.8	0.0	0.0	0.2	0.5	1.4
179	Aaron Gordon	PF	23	ORL	49	49	33.7	6.0	13.3	.449	1.6	4.4	.349	4.4	8.9	.500	.508	2.3	3.2	.723	1.8	5.7	7.5	3.4	0.7	0.7	1.9	2.2	15.8
180	Eric Gordon	SG	30	HOU	41	27	32.7	5.6	14.5	.390	2.7	8.4	.318	3.0	6.1	.488	.481	2.2	2.8	.784	0.3	2.3	2.6	2.0	0.5	0.4	1.5	2.3	16.1
Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
181	Marcin Gortat	C	34	LAC	46	42	16.0	2.2	4.0	.535	0.0	0.0		2.2	4.0	.535	.535	0.8	1.0	.729	1.5	4.1	5.5	1.4	0.1	0.5	1.1	2.0	5.1
182	Devonte' Graham	PG	23	CHO	28	3	12.8	1.5	4.1	.374	0.8	2.3	.328	0.8	1.8	.431	.465	0.5	0.7	.750	0.1	1.0	1.1	2.2	0.6	0.0	0.6	1.0	4.4
183	Treveon Graham	SG	25	BRK	16	10	22.8	1.6	5.3	.298	0.7	3.1	.220	0.9	2.1	.412	.363	0.8	1.0	.750	0.8	2.3	3.1	1.1	0.4	0.3	0.9	2.4	4.6
184	Jerami Grant	PF	24	OKC	51	48	32.2	4.9	9.5	.512	1.1	3.1	.357	3.8	6.5	.587	.570	2.0	2.9	.701	1.0	4.0	5.0	1.0	0.9	1.4	0.8	2.7	12.9
185	Jerian Grant	PG	26	ORL	44	1	17.6	1.5	3.9	.392	0.6	1.9	.325	0.9	2.0	.455	.471	0.5	0.7	.677	0.4	1.5	1.8	2.9	0.8	0.1	1.0	1.5	4.1
186	Danny Green	SG	31	TOR	51	51	29.0	3.6	8.2	.441	2.3	5.5	.421	1.3	2.7	.482	.583	0.5	0.5	.885	0.9	3.3	4.2	1.3	0.9	0.8	1.0	2.4	10.0
187	Draymond Green	PF	28	GSW	37	37	31.2	2.7	6.5	.411	0.6	2.4	.247	2.1	4.1	.507	.456	1.0	1.3	.735	1.1	6.8	7.8	7.4	1.6	1.0	2.5	3.3	6.9
188	Gerald Green	SG	33	HOU	48	0	21.2	3.2	7.9	.408	2.2	6.2	.352	1.0	1.6	.620	.548	0.7	0.9	.810	0.5	2.2	2.7	0.6	0.3	0.4	0.7	1.9	9.3
189	JaMychal Green	PF	28	MEM	40	4	22.3	3.8	7.8	.487	1.0	2.4	.396	2.8	5.4	.528	.548	1.6	2.0	.788	1.8	4.4	6.2	0.9	0.8	0.7	1.6	3.1	10.1
190	Jeff Green	PF	32	WAS	50	25	27.7	4.3	9.0	.473	1.5	4.0	.372	2.8	5.1	.553	.555	2.1	2.4	.892	0.9	3.6	4.5	1.8	0.5	0.5	1.3	2.2	12.2
191	Blake Griffin	PF	29	DET	49	49	36.6	8.9	18.8	.473	2.4	6.8	.358	6.4	12.0	.538	.538	5.9	7.8	.760	1.3	6.9	8.2	5.3	0.8	0.4	3.8	2.9	26.2
192	Daniel Hamilton	SG	23	ATL	19	3	10.7	1.2	3.2	.383	0.4	1.2	.348	0.8	1.9	.405	.450	0.2	0.3	.500	0.5	1.9	2.5	1.2	0.3	0.1	0.8	1.0	3.0
193	Tim Hardaway	SG	26	NYK	46	46	32.6	6.1	15.8	.388	2.5	7.3	.347	3.6	8.5	.424	.469	4.3	5.1	.854	0.6	2.9	3.5	2.7	0.9	0.1	1.8	2.3	19.1
194	James Harden	SG	29	HOU	49	49	37.5	10.6	24.1	.439	4.9	13.3	.370	5.7	10.8	.526	.542	10.3	11.9	.867	1.0	5.8	6.8	8.1	2.2	0.8	5.5	3.3	36.3
195	Maurice Harkless	SF	25	POR	32	25	21.7	2.5	5.4	.468	0.6	1.9	.300	2.0	3.5	.558	.520	0.6	0.8	.692	1.1	2.8	3.9	0.8	0.9	0.9	0.7	2.9	6.2
196	Montrezl Harrell	C	25	LAC	53	2	26.1	6.3	10.1	.623	0.0	0.2	.125	6.3	10.0	.631	.624	3.1	5.1	.610	2.4	4.3	6.7	1.6	0.9	1.3	1.4	3.0	15.8
197	Devin Harris	PG	35	DAL	40	0	15.1	2.2	5.2	.417	0.9	2.9	.307	1.3	2.3	.554	.502	1.3	1.7	.735	0.2	1.4	1.5	1.4	0.7	0.2	0.7	1.8	6.4
198	Gary Harris	SG	24	DEN	32	27	29.9	5.4	12.8	.425	1.6	5.0	.314	3.9	7.8	.496	.487	2.3	2.9	.815	0.7	2.3	3.0	2.7	1.0	0.4	1.2	2.1	14.8
199	Joe Harris	SG	27	BRK	50	50	29.7	4.8	9.9	.488	2.3	5.1	.453	2.5	4.8	.525	.604	1.3	1.5	.842	0.7	3.0	3.7	2.5	0.5	0.2	1.6	2.7	13.3
200	Tobias Harris	PF	26	LAC	53	53	34.6	7.7	15.4	.498	2.0	4.7	.426	5.7	10.7	.529	.563	3.5	4.0	.878	0.7	7.3	7.9	2.7	0.7	0.5	1.9	2.2	20.8
Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
201	Andrew Harrison	SG-PG	24	TOT	17	0	11.0	0.9	3.1	.302	0.3	1.5	.200	0.6	1.6	.393	.349	1.0	1.1	.944	0.4	0.8	1.2	1.4	0.2	0.1	0.7	2.0	3.2
201	Andrew Harrison	PG	24	MEM	1	0	5.0	1.0	2.0	.500	0.0	1.0	.000	1.0	1.0	1.000	.500	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0
201	Andrew Harrison	SG	24	CLE	10	0	14.4	1.2	3.9	.308	0.3	1.4	.214	0.9	2.5	.360	.346	1.6	1.6	1.000	0.4	1.1	1.5	1.7	0.4	0.2	1.0	2.6	4.3
201	Andrew Harrison	SG	24	NOP	6	0	6.3	0.5	2.0	.250	0.3	1.7	.200	0.2	0.3	.500	.333	0.2	0.3	.500	0.3	0.5	0.8	1.2	0.0	0.0	0.3	1.2	1.5
202	Shaquille Harrison	PG	25	CHI	44	0	17.4	2.0	5.0	.401	0.4	1.3	.276	1.7	3.7	.445	.437	1.0	1.7	.622	0.3	2.3	2.6	1.6	1.2	0.4	0.7	1.6	5.5
203	Josh Hart	SG	23	LAL	53	21	26.7	3.1	7.6	.409	1.5	4.5	.340	1.6	3.1	.509	.510	0.9	1.4	.681	0.5	3.5	4.0	1.5	1.1	0.6	1.0	2.3	8.6
204	Isaiah Hartenstein	PF	20	HOU	25	0	8.0	0.8	1.6	.475	0.1	0.2	.333	0.7	1.4	.500	.500	0.4	0.6	.786	0.8	0.9	1.7	0.5	0.2	0.4	0.5	2.0	2.0
205	Udonis Haslem	C	38	MIA	3	0	4.7	0.7	2.0	.333	0.0	0.7	.000	0.7	1.3	.500	.333	0.0	0.0		0.3	1.3	1.7	0.0	0.0	0.0	0.7	1.0	1.3
206	Gordon Hayward	PF	28	BOS	47	16	25.7	3.8	9.0	.422	1.2	3.7	.320	2.6	5.4	.492	.487	2.0	2.3	.844	0.9	3.7	4.6	3.4	1.0	0.3	1.5	1.4	10.7
207	John Henson	C	28	MIL	14	0	13.4	2.2	4.8	.463	0.8	2.2	.355	1.4	2.6	.556	.545	0.4	0.7	.600	1.1	3.9	5.1	1.0	0.5	0.8	0.9	1.1	5.6
208	Juan Hernangomez	PF	23	DEN	50	25	23.3	2.6	5.5	.467	1.3	3.2	.399	1.3	2.4	.559	.582	1.2	1.6	.795	1.2	3.6	4.7	0.9	0.4	0.4	0.7	1.4	7.7
209	Willy Hernangomez	C	24	CHO	44	2	13.8	2.7	5.3	.519	0.3	0.7	.433	2.4	4.6	.532	.548	1.6	2.4	.676	2.0	3.5	5.5	0.9	0.3	0.3	1.0	1.8	7.4
210	Mario Hezonja	SF	23	NYK	43	11	18.9	3.0	7.4	.401	0.7	2.5	.269	2.3	4.9	.469	.446	1.2	1.7	.704	0.4	3.0	3.4	1.0	1.0	0.1	1.2	1.7	7.7
211	Buddy Hield	SG	26	SAC	52	52	31.5	7.7	16.0	.480	3.5	7.5	.460	4.2	8.4	.497	.588	1.7	2.0	.863	1.2	3.7	4.9	2.3	0.5	0.3	1.8	2.5	20.5
212	Haywood Highsmith	SF	22	PHI	2	0	4.5	0.5	1.0	.500	0.5	1.0	.500	0.0	0.0		.750	0.0	0.0		0.0	0.5	0.5	1.0	0.0	0.0	0.0	0.0	1.5
213	Nene Hilario	C	36	HOU	25	2	13.3	1.5	2.8	.543	0.0	0.1	.000	1.5	2.7	.559	.543	0.9	1.2	.710	0.8	2.4	3.2	0.7	0.4	0.4	0.2	2.1	3.9
214	George Hill	PG	32	TOT	39	13	23.0	2.8	6.3	.451	0.8	2.4	.337	2.0	3.9	.523	.516	1.1	1.3	.808	0.7	1.7	2.4	2.4	1.0	0.1	0.9	2.0	7.6
214	George Hill	PG	32	CLE	13	13	26.5	4.2	8.2	.514	1.0	2.2	.464	3.2	6.1	.532	.575	1.3	1.5	.850	0.9	1.2	2.1	2.8	0.9	0.1	1.5	2.7	10.8
214	George Hill	PG	32	MIL	26	0	21.3	2.2	5.3	.403	0.7	2.6	.284	1.4	2.8	.514	.471	1.0	1.2	.781	0.5	2.0	2.6	2.2	1.0	0.1	0.6	1.6	6.0
215	Solomon Hill	SF	27	NOP	34	15	20.8	1.5	3.8	.388	0.6	2.1	.286	0.9	1.7	.508	.465	0.5	0.7	.680	0.9	2.3	3.1	1.3	0.5	0.2	0.7	1.8	4.0
216	Aaron Holiday	PG	22	IND	33	0	11.1	1.8	4.8	.384	0.7	2.5	.293	1.1	2.3	.481	.459	0.8	0.9	.900	0.1	1.3	1.4	1.4	0.4	0.3	0.7	1.2	5.2
