Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
411	Thabo Sefolosha	SF	34	UTA	26	0	11.1	1.1	2.2	.500	0.5	1.1	.464	0.6	1.2	.533	.612	0.3	0.5	.571	0.2	2.7	2.8	0.4	0.9	0.0	0.6	0.9	3.0
412	Wayne Selden	SG	24	TOT	46	4	16.4	2.2	5.2	.420	0.7	2.0	.344	1.5	3.2	.469	.487	0.7	1.0	.733	0.4	1.1	1.5	1.3	0.3	0.2	0.9	1.6	5.8
412	Wayne Selden	SG	24	MEM	32	0	14.2	2.0	5.0	.404	0.6	2.0	.317	1.4	3.1	.459	.466	0.7	0.9	.759	0.5	0.9	1.4	1.1	0.3	0.2	0.7	1.5	5.4
412	Wayne Selden	SG	24	CHI	14	4	21.4	2.5	5.5	.455	0.9	2.1	.400	1.6	3.4	.489	.532	0.8	1.1	.688	0.3	1.6	1.9	1.8	0.4	0.1	1.3	1.7	6.6
413	Collin Sexton	PG	20	CLE	53	43	29.7	5.5	13.6	.403	0.9	2.4	.383	4.5	11.2	.408	.437	2.5	2.9	.850	0.7	2.3	3.0	2.8	0.5	0.1	2.2	2.4	14.3
414	Landry Shamet	SG	21	PHI	53	3	20.3	2.8	6.4	.445	1.8	4.5	.406	1.0	1.9	.540	.588	0.8	1.0	.815	0.3	1.2	1.5	1.1	0.5	0.2	0.5	1.9	8.4
415	Iman Shumpert	SG	28	SAC	41	39	26.0	3.1	8.3	.376	1.7	4.8	.360	1.4	3.5	.399	.481	0.8	1.0	.829	0.5	2.5	3.0	2.1	1.1	0.5	0.9	2.2	8.8
416	Pascal Siakam	PF	24	TOR	52	51	31.4	6.0	10.7	.562	0.7	2.2	.333	5.3	8.5	.621	.596	2.6	3.3	.797	1.6	5.3	6.9	2.9	1.0	0.7	1.8	3.1	15.4
417	Ben Simmons	PG	22	PHI	52	52	33.7	6.8	11.9	.575	0.0	0.0	.000	6.8	11.9	.576	.575	3.3	5.5	.587	2.3	7.2	9.4	8.1	1.3	0.8	3.4	2.5	16.9
418	Jonathon Simmons	SG	29	ORL	41	9	20.6	2.5	7.0	.364	0.5	2.0	.229	2.1	5.0	.419	.397	1.4	1.8	.778	0.6	1.9	2.4	2.3	0.4	0.3	1.4	1.7	6.9
419	Kobi Simmons	G	21	CLE	1	0	2.0	0.0	0.0		0.0	0.0		0.0	0.0			0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
420	Anfernee Simons	SG	19	POR	10	0	5.7	0.7	2.4	.292	0.0	0.8	.000	0.7	1.6	.438	.292	0.1	0.4	.250	0.0	0.7	0.7	0.4	0.0	0.0	0.6	0.3	1.5
Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
421	Marcus Smart	SG	24	BOS	51	31	26.7	2.6	6.5	.403	1.5	4.1	.364	1.1	2.4	.471	.518	1.3	1.6	.786	0.6	2.1	2.8	4.0	1.7	0.4	1.4	2.5	8.0
422	Dennis Smith	PG	21	DAL	32	32	28.4	4.9	11.2	.440	1.3	3.9	.344	3.6	7.3	.491	.500	1.8	2.6	.695	0.6	2.5	3.0	4.3	1.3	0.3	3.1	2.6	12.9
423	Ish Smith	PG	30	DET	26	0	22.7	3.5	8.7	.404	1.1	3.2	.349	2.4	5.5	.437	.469	0.5	0.7	.667	0.0	1.7	1.7	2.8	0.4	0.3	1.0	2.2	8.6
424	J.R. Smith	SG	33	CLE	11	4	20.2	2.5	7.2	.342	1.1	3.5	.308	1.4	3.6	.375	.418	0.7	0.9	.800	0.0	1.6	1.6	1.9	1.0	0.3	1.0	1.7	6.7
425	Jason Smith	C-PF	32	TOT	18	1	9.4	1.1	2.8	.380	0.4	1.1	.368	0.7	1.7	.387	.450	0.7	0.8	.857	0.8	1.9	2.7	0.7	0.2	0.4	0.7	1.5	3.2
425	Jason Smith	C	32	WAS	12	1	10.8	1.3	3.1	.405	0.3	0.8	.400	0.9	2.3	.407	.459	0.8	1.0	.833	0.9	2.2	3.1	1.0	0.1	0.4	0.6	1.8	3.7
425	Jason Smith	PF	32	MIL	6	0	6.7	0.7	2.2	.308	0.5	1.5	.333	0.2	0.7	.250	.423	0.3	0.3	1.000	0.5	1.3	1.8	0.2	0.3	0.3	0.8	1.0	2.2
426	Tony Snell	SG	27	MIL	51	6	17.1	2.2	4.8	.462	1.2	2.9	.419	1.0	1.9	.525	.587	0.6	0.7	.892	0.4	1.7	2.1	0.9	0.4	0.2	0.4	1.1	6.3
427	Ray Spalding	PF	21	DAL	1	0	1.0	0.0	0.0		0.0	0.0		0.0	0.0			0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
428	Omari Spellman	PF	21	ATL	35	10	16.9	2.0	5.1	.399	0.9	2.7	.344	1.1	2.4	.459	.489	0.7	1.0	.722	1.5	2.4	3.9	0.8	0.6	0.6	0.7	1.6	5.7
429	Nik Stauskas	SG	25	POR	44	0	15.3	2.2	5.2	.419	1.0	2.8	.344	1.2	2.4	.510	.513	0.7	0.8	.889	0.2	1.6	1.8	1.4	0.3	0.1	0.9	0.7	6.1
430	D.J. Stephens	SG	28	MEM	1	0	7.0	1.0	2.0	.500	0.0	0.0		1.0	2.0	.500	.500	0.0	0.0		0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0
431	Lance Stephenson	SG	28	LAL	52	0	16.0	2.9	6.4	.446	1.1	2.9	.393	1.7	3.5	.489	.534	0.7	1.0	.642	0.5	2.6	3.1	2.1	0.6	0.1	1.3	1.7	7.5
432	Edmond Sumner	PG	23	IND	13	2	8.1	0.6	2.5	.250	0.1	1.0	.077	0.5	1.5	.368	.266	0.2	0.5	.429	0.4	0.8	1.2	0.4	0.5	0.2	0.5	1.2	1.5
